KLASIFIKASI DESA BERDASARKAN INDEKS PEMBANGUNAN DAERAH,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KECAMATAN,,Jumlah Desa Tertinggal (desa),,,Jumlah Desa Berkembang (desa),,,Jumlah Desa Mandiri (desa),,,Jumlah Desa Maju (desa),,,
,,2017,2018,2019,2017,2018,2019,2017,2018,2019,2017,2018,2019,
A,KECAMATAN BATU,0,0,0,-,1,2,-,0,0,-,3,2,
1,Sumberjo,0,0,0,-,0,1,-,0,0,-,1,0,
2,Songgokerto,0,0,0,-,0,0,-,0,0,-,0,0,
3,Pesanggrahan,0,0,0,-,1,1,-,0,0,-,0,0,
4,Ngaglik,0,0,0,-,0,0,-,0,0,-,0,0,
5,Sisir,0,0,0,-,0,0,-,0,0,-,0,0,
6,Sidomulyo,0,0,0,-,0,0,-,0,0,-,1,1,
7,Temas,0,0,0,-,0,0,-,0,0,-,0,0,
8,Oro Oro Ombo,0,0,0,-,0,0,-,0,0,-,1,1,
B,KECAMATAN BUMIAJI,0,0,0,-,7,0,-,0,7,-,2,2,
1,Giripurno,0,0,0,-,1,0,-,0,1,-,0,0,
2,Pandanrejo,0,0,0,-,1,0,-,0,1,-,0,0,
3,Bumiaji,0,0,0,-,1,0,-,0,1,-,0,0,
4,Bulukerto,0,0,0,-,1,0,-,0,0,-,0,1,
5,Punten,0,0,0,-,0,0,-,0,1,-,1,0,
6,Tulungrejo,0,0,0,-,0,0,-,0,1,-,1,0,
7,Sumbergondo,0,0,0,-,1,0,-,0,1,-,0,0,
8,Gunungsari,0,0,0,-,1,0,-,0,1,-,0,0,
9,Sumberbrantas,0,0,0,-,1,0,-,0,0,-,0,1,
C,KECAMATAN JUNREJO,0,0,0,-,3,2,-,0,2,-,3,2,
1,Beji,0,0,0,-,1,0,-,0,0,-,0,1,
2,Torongrejo,0,0,0,-,1,1,-,0,0,-,0,0,
3,Pendem,0,0,0,-,0,0,-,0,0,-,1,1,
4,Mojorejo,0,0,0,-,0,0,-,0,1,-,1,0,
5,Tlekung,0,0,0,-,1,1,-,0,0,-,0,0,
6,Junrejo,0,0,0,-,0,0,-,0,1,-,1,0,
7,Dadaprejo,0,0,0,-,0,0,-,0,0,-,0,0,
,Kota Batu,0,0,0,0,11,4,0,0,9,0,8,6,
,*) Belum melakukan pendataan,,,,,,,,,,,,,
,"Sumber : Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk Dan KB",,,,,,,,,,,,,
